City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Nabire,ID,-3.3667,135.4833,85.21,64,76,4.16,Broken clouds
301,Gucheng,CN,35.9115,111.3192,93.16,23,2,9.17,Clear sky
302,Huarmey,PE,-10.0681,-78.1522,62.37,82,9,12.55,Clear sky
303,General Roca,AR,-39.0333,-67.5833,45.7,73,1,5.59,Clear sky
304,Comodoro Rivadavia,AR,-45.8667,-67.5,31.86,80,0,5.75,Clear sky
305,Fare,PF,-16.7,-151.0167,80.2,74,2,16.33,Clear sky
306,Jiwani,PK,25.05,61.7417,82.69,82,28,7.76,Scattered clouds
307,Naze,JP,28.3667,129.4833,74.32,89,100,12.24,Light rain
308,Sitka,US,57.0531,-135.33,61.36,59,52,5.75,Broken clouds
309,Qostanay,KZ,53.1667,63.5833,71.89,46,0,8.95,Clear sky
310,Tabuk,PH,17.4189,121.4443,85.48,70,100,4.52,Overcast clouds
311,Collie,AU,-33.3667,116.15,65.26,61,10,9.95,Clear sky
312,Filingue,NE,14.3521,3.3168,85.98,49,100,6.67,Light rain
313,Cockburn Town,TC,21.4612,-71.1419,81.3,82,18,18.81,Few clouds
314,Mount Isa,AU,-20.7333,139.5,76.77,27,61,11.5,Broken clouds
315,Margate,GB,51.3813,1.3862,58.3,85,17,0.49,Few clouds
316,Shubarkuduk,KZ,49.1447,56.4872,73.27,39,50,4.74,Scattered clouds
317,Luganville,VU,-15.5333,167.1667,80.31,83,100,12.06,Heavy intensity rain
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.1,81,60,3.94,Broken clouds
319,Kavieng,PG,-2.5744,150.7967,84.81,69,68,12.44,Broken clouds
320,Shingu,JP,33.7333,135.9833,77.14,69,100,11.41,Overcast clouds
321,Taltal,CL,-25.4,-70.4833,54.39,85,47,1.97,Scattered clouds
322,Flinders,AU,-34.5833,150.8552,70.18,55,84,7.0,Broken clouds
323,Mikumi,TZ,-7.4041,36.9831,61.56,95,2,1.48,Clear sky
324,Coahuayana,MX,18.7333,-103.6833,78.91,89,100,2.95,Overcast clouds
325,Abbeville,FR,50.1,1.8333,56.5,83,31,1.23,Scattered clouds
326,Tsiroanomandidy,MG,-18.7667,46.0333,61.41,73,42,1.23,Scattered clouds
327,Fajardo,PR,18.3258,-65.6524,81.99,84,100,12.5,Overcast clouds
328,Hauterive,FR,46.0901,3.4459,70.56,68,91,3.51,Overcast clouds
329,Touros,BR,-5.1989,-35.4608,74.16,83,18,9.19,Few clouds
330,High Level,CA,58.5169,-117.136,71.71,35,75,6.91,Broken clouds
331,Finschhafen,PG,-6.6024,147.8681,85.39,67,42,9.95,Scattered clouds
332,Barguzin,RU,53.6167,109.6167,79.57,37,36,2.08,Scattered clouds
333,Ginir,ET,7.1333,40.7,53.58,88,58,5.01,Broken clouds
334,Airai,TL,-8.9266,125.4092,71.67,53,62,5.28,Broken clouds
335,Fukue,JP,32.6881,128.8419,79.16,78,40,8.05,Scattered clouds
336,Novopskov,UA,49.5464,39.0899,55.76,91,42,3.29,Scattered clouds
